
F:\Documents and Settings\Fin\Dokumenty\Ákola\Middleware\cvika 1\Input-Files>java -Xss1024k -Djava.security.policy=./policy Main 
---Sparse graph---
==============Local nodes, local searcher=====================
Attempt Distance          Time         TTime
      0        3           511         27887
      1        4          1045         22441
      2        2            37         23501
      3        3           224         22740
      4        4          1156         22514
      5        4          1077         23854
      6        4           955         22699
      7        4           778         24043
      8        4           855         22601
      9        2            38         26032
     10        4          1194         22952
     11        2            35         26030
     12        3           227         26574
     13        3           224         24931
     14        3           183         24060
     15        4          1403         25946
     16        4           815         22841
     17        3           267         26029
     18        2            32         25448
     19        4           904         25490
     20        3           306         27373
     21        3           234         26832
     22        4          1587         29956
     23        3           141         22434
     24        2            21         20895
     25        3           266         26490
     26        4          1143         28170
     27        3           568         26460
     28        3           210         25318
     29        3           141         23598
     30        4           958         24733
     31        3           141         24055
     32        3           557         23975
     33        3           243         27071
     34        3           137         23882
     35        3           201         23616
     36        3           147         20236
     37        3           262         26679
     38        3           107         19719
     39        3           191         22944
     40        2            33         24429
     41        3           200         22991
     42        3           163         22804
     43        1            11         27207
     44        2            30         21789
     45        2            48         27743
     46        4          1493         27602
     47        3           184         23979
     48        4           834         22812
     49        3           243         25853
==============Local nodes, remote searcher=====================
Attempt Distance          Time         TTime
      0        3         17723         83039
      1        3         10139         38557
      2        4         12172         35272
      3        3         12901         36393
      4        3         14197         38861
      5        2         14183        112524
      6        2         13631         38223
      7        3         13344         38221
      8        4         13283         35349
      9        4         10709         37606
     10        3         12307         74499
     11        4         12115         34320
     12        4         17359         40558
     13        2         13136         38103
     14        3         16364         39877
     15        3         11513        108169
     16        3         10914         36277
     17        4         10015         38917
     18        3         13120         36193
     19        3         11684         34530
     20        3         79679         33735
     21        3         13545         35364
     22        4         16475         40376
     23        3         11686         39445
     24        3         11598         35975
     25        3         51873         36787
     26        3          9840         33201
     27        4          9902         35849
     28        3         13184         37147
     29        3         13437         33270
     30        3         14155        100305
     31        4         14047         36506
     32        3         11996         35607
     33        4         11821         32787
     34        3         10133         34134
     35        3          9258         85374
     36        4          9264         32356
     37        4         10366         34228
     38        3         12586         32762
     39        3         14525         35824
     40        3         12036         82212
     41        3         12828         39101
     42        3         13991         37051
     43        4         14331         43119
     44        4         11426         39160
     45        4         49689         36301
     46        4         13418         36693
     47        3         13083         40578
     48        4         14337         37948
     49        3         11875         38261
==============remote nodes, local searcher=====================
Attempt Distance          Time         TTime
Chcete ukonüit d†vkovou £lohu (A/N)? Chcete ukonüit d†vkovou £lohu (A/N)? 
